catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0362,31,28783,6308,148,2601.1465078573497,270.1645247560287,4.608081005477177,1.5226879861505873,0.016378753673350007,0.1789196899562526,-0.014132153978251513,0.17370817192669094,0.9987620875859216,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,9.323469970058183e-4,0.002034337880895989
HF0376,32,11582,0,0,1046.6761231978537,108.71158411994318,-2.741444349817281,2.438119792522448,0.006566145011330572,0.1559804957987403,-0.007526638417543763,0.15489315383242558,0.13041973333835333,0,0,0,0,Not hotspot,Not hotspot,1.588275198519974e-6,1.3120886831233272e-4
HF0401,33,29137,0,0,2633.137817442226,273.48725837530515,-4.0516460739421065,2.8137011432015084,0.012511485091680508,0.23361048866479056,-0.014285996478861456,0.23143078829958694,0.07493790125382571,0,0,0,0,Not hotspot,Not hotspot,4.071786206721633e-7,3.823595821925354e-5
HF0402,34,14744,0,0,1332.4290071170053,138.39091661754813,-4.677699137284927,3.6794142778686854,0.008391434815778115,0.202027356861807,-0.010353213768636942,0.201689586357074,0.10180808298669086,0,0,0,0,Not hotspot,Not hotspot,1.8718459808416236e-5,8.214166102981242e-4
HF0411,35,33798,0,0,3054.356726976434,317.23658436244517,-3.430311940609229,2.3089003758300106,0.011573485327760962,0.20449322520843063,-0.013005588144895953,0.2017406066137882,0.06868046867101196,0,0,0,0,Not hotspot,Not hotspot,1.5550077999640628e-7,1.3422688160581604e-5
HF0429,36,24780,0,0,2239.3916709413584,232.59135334935175,-3.7945002835685266,2.7220674772123945,-0.0057048297038162655,0.16245523423917682,0.004039069731989058,0.16303255912800124,0.08166222917383215,0,0,0,0,Not hotspot,Not hotspot,4.944780507954409e-7,4.440312463188031e-5
HF0438,37,38773,0,0,3503.9521088542892,363.93319384238964,-4.2252523575635115,2.616704836466134,0.006655383247466793,0.17409678672921264,-0.00905754189090969,0.17550285235376506,0.05318539383687526,0,0,0,0,Not hotspot,Not hotspot,1.80915954645089e-7,1.5166650804045383e-5
HF0446,38,27853,0,0,2517.1015419987757,261.43530931555665,-4.431670339633623,2.9804771308439975,-0.0024148446563038227,0.1673649056341757,2.7536839676558817e-4,0.16195600822292924,0.06852066115764521,0,0,0,0,Not hotspot,Not hotspot,7.052760038881584e-7,5.3672059493142194e-5
HF0465,39,25852,7898,65,2336.2693090062953,242.6534167387991,4.9079472154586545,1.5633304062289337,0.035384438033956564,0.26414902697098014,-0.03392491246756885,0.2570589203386385,0.9991535803327819,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0014470501974999822,0.001116715258180151
HF0494,40,29288,9391,2603,2646.7838280278656,274.90458260273664,6.972955260936298,1.5317085746387864,-0.006375575391125947,0.16145278665647497,0.010134139948253509,0.16259082719522988,0.9999973481737132,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0013406052690662813,0.034447713269413364
HF0499,41,13401,2649,0,1211.060846742742,125.78517862125355,2.513943065094557,1.6839020182990263,0.004431460719069425,0.18105152240750447,-0.0033571663528552,0.18058713941082205,0.9322718731828501,1,1,0,1,Bayesian hotspot only,Robust hotspot,0.0018060541095872267,8.224026903039217e-5
HF0505,42,8760,0,0,791.6493558291485,82.22357769734953,-2.8993832574081226,2.8078512471412154,-0.009516477044864349,0.19712041971820304,0.00849577789772542,0.19699460324752724,0.15089589259503922,0,0,0,0,Not hotspot,Not hotspot,4.637079092577432e-6,4.07049140310078e-4
HF0506,43,17879,4672,434,1615.7418758983272,167.8168202797845,6.274105659814789,1.5411205904207206,-0.009686810409005297,0.18669860379235123,0.01324997205906932,0.18621858942123812,0.999976607406385,1,1,1,1,Robust hotspot,Robust hotspot,0.001789794794006134,0.015427772669501839
HF0537,44,14188,0,0,1282.1827694639223,133.17215985958848,-3.0070537828543378,2.4489717814961005,0.016578374373933856,0.17420781495921084,-0.0179389432032547,0.1685835440750046,0.10974521875400867,0,0,0,0,Not hotspot,Not hotspot,1.085112131165741e-6,8.787574073329975e-5
HF0540,45,14995,0,0,1355.112110805717,140.74686616115937,-3.1529482474479624,2.5865820876246772,0.022426709323472405,0.19547894766112964,-0.023786155119384176,0.1885366910045877,0.1114290897213932,0,0,0,0,Not hotspot,Not hotspot,1.1160747481117417e-6,9.751685152048751e-5
