catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,cases_cluster_005,cases_cluster_010,shared_mean,shared_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0921,73,35279,511,14,3188.1960758329374,331.13762529506783,Not significant,Not significant,2.4294523697227954,0.60918812107707,0.9999666860057145,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.028682651449699e-5,1.3500994349712728e-4
HF0926,74,51320,0,0,4637.836180496793,481.7025122634678,Not significant,Not significant,-4.952442131205978,2.896544059460553,0.04365363168546177,0,0,0,0,Not hotspot,Not hotspot,1.663291068580738e-7,3.822243902718679e-6
HF0940,75,65003,11,31,5874.3816297901985,610.1346142763483,Not significant,Not significant,2.3836560459234857,0.6020156034155038,0.9999624401166535,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.6419384534374313e-7,8.159352737153643e-5
HF0948,76,10195,0,0,921.3316418582385,95.6928509845295,Not significant,Not significant,-3.6702132608847777,3.1571393766442077,0.12251372194570975,0,0,0,0,Not hotspot,Not hotspot,7.764826739997038e-6,1.5020770715631562e-4
HF0957,77,23314,0,0,2106.907886050316,218.83110621415605,Not significant,Not significant,-4.337849011885532,3.0310360725812893,0.07619447822510672,0,0,0,0,Not hotspot,Not hotspot,1.085242329521706e-6,2.2974814294861375e-5
HF0966,78,39980,0,0,3613.029822608374,375.2624014086797,Not significant,Not significant,-4.861450602451018,3.014285374154686,0.05339358107825076,0,0,0,0,Not hotspot,Not hotspot,3.546834665156184e-7,7.60003433281157e-6
HF0975,79,8327,7821,192,752.5187426928447,78.15933007829105,Not significant,Not significant,6.497356620993227,0.559770656590526,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.013811270423979886,0.031550363727266724
HF0998,80,41002,0,0,3705.3889141217746,384.85515214003715,Not significant,Not significant,-4.846746940591054,2.9855902819540896,0.05225412057982548,0,0,0,0,Not hotspot,Not hotspot,3.1570578572660463e-7,6.90744023646067e-6
HF1015,81,71146,1665,206,6429.530259111941,667.7943674492728,Not significant,Not significant,4.345842920648948,0.5462127116885471,0.9999999999999991,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.0291843349319874e-5,4.625312982618772e-4
HF1032,82,51046,11617,551,4613.074545394374,479.13067889713517,Not significant,Not significant,5.707265901065735,0.5477432180697197,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.459147802231699e-4,0.0024025385073332354
HF1063,83,42335,0,0,3825.853365185731,397.36702760471377,Not significant,Not significant,-4.897595000570381,2.999416941584986,0.05125037763597251,0,0,0,0,Not hotspot,Not hotspot,3.0567831795454457e-7,6.629331136642438e-6
HF1065,84,22892,0,0,2068.7713531553504,214.87010737987734,Not significant,Not significant,-4.425641797758794,3.112047409838686,0.07749864981745402,0,0,0,0,Not hotspot,Not hotspot,1.3673043744416034e-6,2.7568577623641634e-5
HF1092,85,45814,0,0,4140.253834241622,430.0218023546086,Not significant,Not significant,-4.995973126217303,3.0168237892431233,0.048857119141655914,0,0,0,0,Not hotspot,Not hotspot,2.7177497609871455e-7,5.860561761720946e-6
HF1113,86,54227,3938,556,4900.544477003109,508.98835020481425,Not significant,Not significant,5.613341319440278,0.5469576547003532,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.6400614563170712e-4,0.0021469045685462763
HF1125,87,37541,22309,679,3392.6151218244368,352.36932994705467,Not significant,Not significant,6.243508277837911,0.5531097484888959,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0019382702537214579,0.005473968662966699
HF1130,88,31671,1852,11,2862.1377566740825,297.27202388730103,Not significant,Not significant,2.3969336141452025,0.6294617693405707,0.9999299268029953,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.260389171835405e-4,1.3880228201886357e-4
HF1147,89,16454,0,0,1486.9632991795445,154.4414095242225,Not significant,Not significant,-4.155134980731597,3.166100488249572,0.09469554856516771,0,0,0,0,Not hotspot,Not hotspot,3.0142909566837444e-6,5.914492948604206e-5
HF1165,90,28965,0,0,2617.594017304941,271.87282283147596,Not significant,Not significant,-4.59433798087205,3.0578016394017355,0.06648439300667386,0,0,0,0,Not hotspot,Not hotspot,7.48866225613578e-7,1.5599222569550983e-5
HF1166,91,82312,11399,1041,7438.612075001013,772.6012702539081,Not significant,Not significant,5.841300663486908,0.547249022038748,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.060169308511727e-4,0.0017445253374169982
HF1180,92,21313,0,0,1926.0756530578358,200.04921363739845,Not significant,Not significant,-4.358109689957483,3.1167439713974723,0.08101310755357782,0,0,0,0,Not hotspot,Not hotspot,1.5928286162608646e-6,3.20755678989807e-5
HF1207,93,22757,0,0,2056.5712774662024,213.60296320303462,Not significant,Not significant,-4.338343990423226,3.0468551747188117,0.07724118369013733,0,0,0,0,Not hotspot,Not hotspot,1.1833690836670054e-6,2.4706905629636282e-5
HF1209,94,19238,0,0,1738.5559711690821,180.57273832666783,Not significant,Not significant,-4.2259886209327435,3.090793773745899,0.08576836798348975,0,0,0,0,Not hotspot,Not hotspot,1.8381890492506673e-6,3.736467264296601e-5
