area_index,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q50_adj,shared_q975_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj
85,4.493996493616409,3.7085296685751343,-2.6881614474593682,4.455613961274637,11.8931788832643,0.8872055382901222,1,0
86,4.253877884845772,1.8900896187673952,0.5730473910932137,4.241055866417608,8.005587033641437,0.9877952657758736,1,1
87,5.21706717285453,1.875041158914323,1.5936775712267317,5.195013666153341,8.962582773136655,0.9973018655007522,1,1
88,1.5344986218473526,1.8565857248852868,-2.0682484514478636,1.5177768659441433,5.230186449533042,0.7957444016147203,0,0
89,-0.06910433494098335,5.947477187306748,-11.767912483143544,-0.06975242287305485,11.633406734907085,0.49536475386103285,0,0
90,3.450964736973158,2.82825243804454,-2.0734481140345844,3.4392679394018884,9.04191352258086,0.8888008509018551,1,0
91,4.120397461542139,1.813786104690612,0.6088339690700182,4.100971455711672,7.739496391670501,0.9884480079187818,1,1
92,3.14399668935493,3.4244172292345865,-3.5522876955322054,3.132893496745986,9.903506205863184,0.8207197411607765,1,0
93,0.028472179360298073,2.759845169949027,-5.415027127998965,0.03433787664948972,5.4387833450146745,0.5041156492399694,0,0
94,-1.4536554608736278,3.268338504731141,-7.909737684374553,-1.4432656221081162,4.943554353470983,0.32824337036736606,0,0
95,2.125281533956765,1.8144296574728298,-1.3948949025103956,2.1083463865875203,5.739353550439594,0.879265331764094,1,0
96,-2.3906566563700835,3.4507660604461425,-9.221626540064296,-2.374314918156397,4.347570036514778,0.24422063458226717,0,0
97,-2.023180509629528,3.3869345151579577,-8.726912986809026,-2.00754254443389,4.591918558789393,0.27513733957209197,0,0
98,1.7411016591917907,1.9262454086852174,-2.0037969684527233,1.725983145448415,5.570316625843697,0.816971440306267,1,0
99,-1.896731959904184,3.8411851391957836,-9.444782132073394,-1.898250046882517,5.660070060600132,0.31072787788477707,0,0
100,-0.12547139213921873,1.2302851143876625,-2.5553547708565243,-0.12224391093127031,2.2857364404905582,0.459384043935289,0,0
101,2.4913628686707177,3.508798609137704,-4.372690032327606,2.481130025194566,9.413711606770084,0.7611581695964732,0,0
102,1.101398560775193,1.781828851939348,-2.355543799393427,1.0849577340608112,4.6497274085539395,0.7317545641498429,0,0
103,3.0187649871546065,1.8140977605478446,-0.5022215251881823,3.002311766176078,6.631808829954961,0.9519496407356748,1,1
104,2.801877619937744,2.7742148567728675,-2.6219417131211453,2.791507027810868,8.284761365497117,0.8437455000175447,1,0
105,2.213927843703238,3.1479463144056736,-3.9376566613100263,2.2013628216315073,8.436957006148655,0.7590633383540331,0,0
106,6.559846572966715,3.4501310967129486,-0.037500776283301285,6.495621934795385,13.514342620006417,0.9713707662407146,1,1
107,0.45530343564565856,1.3129395921794307,-2.116544970726747,0.45060879778273744,3.053065600497469,0.6356223402514538,0,0
108,-0.6242811317039529,2.833210889840238,-6.17983835106759,-0.6281694567599534,4.953302806485359,0.41280161222113476,0,0
109,3.552261443933728,3.239297491468344,-2.7588405138249814,3.5330314326591985,9.97265813210068,0.8635950839383199,1,0
110,1.646222678871193,1.29828618221151,-0.955758703748623,1.6622071855325984,4.155946836176773,0.8976004470568042,1,0
111,-1.0691284143061102,2.2032312711819992,-5.390292571365778,-1.0716779346634024,3.266454597457717,0.31374782875489227,0,0
112,-1.5143729002518584,1.2963728777591497,-4.048555369279828,-1.5198954203937123,1.050733511347884,0.12137081116169735,0,0
113,-0.6583439606230176,1.2941351780290529,-3.209395178937747,-0.6571474714252574,1.8854975010589652,0.30547654953245595,0,0
114,7.39491979743595,5.747835146010866,-3.749393880641347,7.340812986768764,18.84511656950335,0.9008756986956638,1,1
115,2.0854603495587734,3.979324885579098,-5.7061532280800655,2.075910780670841,9.93145099843717,0.6998864327189847,0,0
116,6.11440798611304,4.456445783800828,-2.4977141535374807,6.062800651529312,15.018269163243978,0.9149740219998028,1,1
117,4.989315542690683,3.7253901669402,-2.202903695284168,4.943198205513556,12.441883006255914,0.9097591395070759,1,1
118,2.7798038804881355,2.769915700233498,-2.630734135530456,2.767990887994858,8.257564756399564,0.8422070031580386,1,0
119,4.708280040134317,3.6641983757651047,-2.3760472426195305,4.666454526604401,12.029194261153869,0.900593611620731,1,1
120,3.7185691496569584,3.1695502479471633,-2.420827731926952,3.6863794476944896,10.040186202426394,0.8796455332380485,1,0
121,4.578507916673164,3.4138497801555667,-1.960989361108573,4.518406662376566,11.45264067230187,0.9100652288327564,1,1
122,3.869000280763859,3.110011376121451,-2.1436927104928305,3.833600431253886,10.081694851150118,0.8932588647946026,1,0
123,3.0110940824273906,2.539067623565757,-1.9448104474431571,2.9994588903962542,8.033217152412844,0.8821701757605593,1,0
124,3.4266366687963727,2.4426793732004137,-1.3382535210726885,3.4146790690196607,8.259555633834683,0.9196645677380776,1,1
125,-1.1431420686005769,1.2728290021959348,-3.6709527532978403,-1.1353067782779842,1.3396767883073606,0.18456311626615063,0,0
126,-1.2114126909935719,3.7474247879706803,-8.562582193942983,-1.2159096079497567,6.165414837915407,0.3732471359069002,0,0
127,2.719437670400943,2.6062339370303422,-2.34568613458989,2.6990513363102906,7.900293720068199,0.8516267390091676,1,0
128,6.430905127958599,1.9236677904479487,2.7105599256748394,6.409229512605951,10.270827557532993,0.9995856754741117,1,1
129,4.235149605155788,1.9329822834234551,0.45969242481942274,4.225603773882421,8.062387897796597,0.9857738308971893,1,1
130,0.8329891085500034,1.723602556107729,-2.55102177562816,0.8326092430414047,4.219149993482964,0.685552862076058,0,0
131,-0.832989112181919,1.7236025559932415,-4.219149996799035,-0.8326092467058855,2.551021771864718,0.31444713716456507,0,0
132,5.1890099029663235,3.696553151730309,-1.9501888647964742,5.144160768122253,12.581669574122097,0.9198022750224714,1,1
133,3.906720357726192,3.422175821007333,-2.727046179476129,3.8737301050662905,10.727334794176151,0.8731876774072798,1,0
134,0.5803650839565688,2.1419117305245763,-3.6166871971964856,0.5779256887605734,4.791321846447582,0.6067877874561661,0,0
135,7.5379466345958255,1.2026116682597896,5.202748341566558,7.5276736293460855,9.926371627859558,0.9999999998171198,1,1
136,-1.5191553734851913,1.5323698801944394,-4.5581365054051535,-1.50957246620417,1.467213168739634,0.16075090373249146,0,0
137,3.512622456327941,2.7158268378738266,-1.7635048711061176,3.4910416726680586,8.91123511847202,0.9020618444788883,1,1
138,4.274539830849896,2.697137738580602,-0.9619710423679662,4.251746051202045,9.640305638927476,0.9434989936368137,1,1
139,4.063003922026077,2.6223505917014784,-1.027045428595792,4.040871998416754,9.278674234432973,0.9393541759400581,1,1
140,3.715378000459386,1.8699353933259033,0.09502336624915886,3.695739775651503,7.444537147049807,0.9765333599823888,1,1
141,-1.3667808290618504,2.238591300371627,-5.773939846717902,-1.3636272241637657,3.02329774737147,0.27074744833108877,0,0
142,7.485274921416237,1.959724432556007,3.6715446419807156,7.471203611020974,11.375640542740978,0.9999331536299403,1,1
143,4.7824851443393985,1.9408337437642895,0.9909137671395682,4.773039578817487,8.624578868827243,0.9931328682354138,1,1
144,1.7903196313511616,2.7914614271437572,-3.672971947441158,1.7800018681325396,7.311490106091921,0.7393541882471282,0,0
145,-0.029118254602844295,0.8532027594522315,-1.5617447375422056,-0.09190390379187963,1.832238859195323,0.4863874698737519,0,0
146,0.3412549954438263,2.621270014817225,-4.811381229705623,0.34347237180667006,5.4817915564386,0.5517907173739856,0,0
147,4.051837675926051,1.2188878166083346,1.674850865367735,4.042869723296763,6.475427777277057,0.9995566511856527,1,1
148,4.645020245011209,1.2567020304661893,2.1949509618581047,4.639133954831587,7.128237819400157,0.9998905740874378,1,1
149,-4.984046845847185,4.81835853188585,-14.516319291006969,-4.965494282631706,4.443504517900843,0.15047766784785233,0,0
150,-2.463389401535566,3.5629781491566033,-9.47762123013377,-2.458301389048229,4.521994526027045,0.24466183568832356,0,0
151,1.3994463536440878,3.2732753536261465,-5.031778120716109,1.3996144492733567,7.830941559882641,0.6655058823666582,0,0
152,-1.2073453939146506,2.5137654013172703,-6.160394079957895,-1.20201150073995,3.7154033934891277,0.31550932521278263,0,0
153,-0.7816880761047491,1.353258725441137,-3.472687789138177,-0.7713522341858219,1.850724497838932,0.28175566707134436,0,0
154,-0.7620052171083714,1.2922748827307546,-3.301597449742181,-0.7636626137197355,1.787611241728237,0.2777086834606338,0,0
155,-0.40591085366965585,0.7723511892568686,-1.9724182506482084,-0.41212587042585846,1.1876170588288193,0.29959969367507977,0,0
156,-0.7560657324327997,2.313981867288503,-5.304178773313356,-0.7547461207791297,3.784590507496535,0.37193304046936027,0,0
157,2.200659397106216,0.81976278930083,0.4032913292732949,2.26712462784243,3.6600005903942368,0.9963681628644095,1,1
158,-2.200659404317781,0.819762783385623,-3.660000581908659,-2.267124637266992,-0.403291343754659,0.0036318368295527037,0,0
159,-0.784589314585253,1.953550575707553,-4.627319815288384,-0.7817298602498938,3.0418769523768416,0.34398103810057634,0,0
160,-7.062553737405237,3.030420095067261,-13.097752341589521,-7.034175051693096,-1.1881089712618094,0.009888479018403173,0,0
161,0.9465068390103683,1.16953686924446,-1.3317400051962989,0.9380562398684347,3.271415621730549,0.7908288568605897,0,0
162,3.8067514508757503,1.2493614564708508,1.3298769945674613,3.8118499369007006,6.250679270803632,0.9988441486255177,1,1
163,-0.37678647538411736,5.268965641438935,-10.73947256218567,-0.378795926564914,9.997351931628513,0.4714957259336129,0,0
164,2.308778950370397,1.440200539536823,-0.5179628238912355,2.3068719980193353,5.146175596480372,0.9455432102022622,1,1
165,0.8881767570571961,2.869039872475749,-4.728862294425141,0.8783285767773387,6.559952968819961,0.6215570850554363,0,0
166,-0.7475805268603833,4.8405767003833935,-10.266349655002625,-0.7479315224499973,8.773344153846914,0.4386312566894376,0,0
167,2.47645112531943,1.1343510982783407,0.28807505101429154,2.459258674278311,4.759536547747063,0.985487374702521,1,1
168,-0.17333990283599227,5.683857558406064,-11.353671120400374,-0.1744666248486924,11.013399657602182,0.4878353921494948,0,0
169,0.1822270513706941,0.7559582310610192,-1.3096140688355467,0.1627356046120749,1.7710144441756195,0.5952435195703718,0,0
170,-3.668483840251883,4.216791659498755,-11.999300971169564,-3.655590927267074,4.5894053516226725,0.19215829584689392,0,0
171,-1.6402773084657707,4.246336964170046,-9.989325072175511,-1.6401939409164077,6.708543755782346,0.34964445788113485,0,0
172,0.22805215011497962,5.154920930786197,-9.923500200731892,0.22945694831529562,10.371594242223782,0.5176433310873564,0,0
173,-0.2280521502041125,5.154920930564514,-10.371594241878164,-0.22945694840675732,9.923500200221099,0.48235666890499407,0,0
174,1.923979893565935,1.5949182215003523,-1.1824272151416169,1.9150926259418937,5.080464903354456,0.8861527113216694,1,0
175,0.0466930328245645,1.4420075820991793,-2.8052347758725023,0.0530336741041636,2.863714592685837,0.51291572285732,0,0
176,0.3295700074876883,2.1109790702292885,-3.8198145560349,0.33176731548013,4.466499159178208,0.5620315214185145,0,0
177,8.670235330015055,1.353281764015436,6.045213480083745,8.657379219573892,11.36420061225926,0.9999999999257079,1,1
178,-2.6506009772210724,3.4858796901157216,-9.514016322256929,-2.645185800058184,4.182091852142504,0.22351307060853487,0,0
179,-0.15475383932979392,2.8323057798673212,-5.718825027170422,-0.1540177184409066,5.405341257160433,0.47821310641922865,0,0
180,1.3648120966907569,0.8731527718007069,-0.33889001462069146,1.3482420766995966,3.15533092200186,0.9409837113364995,1,1
181,-0.8437325580893101,4.750863424010098,-10.185821687049593,-0.8440390558671752,8.500263187519272,0.4295202804161502,0,0
182,-0.9766747382065992,4.638743596662026,-10.098015500735755,-0.9769274437813316,8.14628281256627,0.41662028636825776,0,0
183,1.3185686678039485,2.831735495314181,-4.230463253351793,1.3104351227994706,6.911970262993573,0.6792633148918914,0,0
184,0.28804931653548965,0.5901282267207668,-0.8508081889622182,0.2732649859078846,1.5110277897446176,0.6872651327287334,0,0
185,1.1026999159860147,0.8072684268233168,-0.43663547633253263,1.0626785219808674,2.846239268097023,0.9140249280751442,1,1
186,3.8126835294619466,1.1387629081307467,1.5985665821800756,3.8013930638847144,6.086215122550967,0.9995931507324565,1,1
187,-1.7762877687868377,3.8792950511488473,-9.410541283784886,-1.7720249700251476,5.83380163517138,0.32351598049525976,0,0
188,-0.974430264933817,1.288046996254436,-3.5511418179401266,-0.95991631578085,1.5203254208031145,0.2246694521855508,0,0
189,-2.750922626883049,3.450082659228609,-9.544279418802493,-2.7453716605127894,4.010929210622397,0.21262396037213338,0,0
190,-4.645020254571788,1.2567020300507983,-7.128237828037195,-4.639133964431069,-2.1949509721214704,1.0942590875862024e-4,0,0
191,-2.476451124836906,1.134351104589481,-4.7595365588873015,-2.4592586740145705,-0.28807503780265886,0.014512625760236042,0,0
192,-0.8675747015302292,0.7816944174169819,-2.5471248599823046,-0.8348999876732311,0.6249399515938445,0.13352876024897387,0,0
193,-0.31113739474885765,2.416969581730434,-5.059722509026178,-0.3101392082648236,4.431672507999844,0.44878550076184276,0,0
194,-0.2880493024813556,0.5901282275435428,-1.5110277788071003,-0.27326497123045473,0.8508082027224753,0.3127348759462326,0,0
195,-4.125586248211721,4.949013120083042,-13.905661901040649,-4.1097516385646875,5.5648508984501275,0.20224814930292911,0,0
196,0.7859043038678607,1.6888436270523484,-2.522396206844499,0.7818113763800225,4.116983503151884,0.6791597784141159,0,0
197,2.6185501084631153,1.218298741740484,0.237996351721669,2.6123578901971722,5.032280481394862,0.9841966576164854,1,1
198,0.11527619404575087,3.26415787661913,-6.29708366986724,0.11462488327536396,6.531375213141977,0.5140860190438001,0,0
199,0.5487866526861859,3.36783381298442,-6.071202886168039,0.5479470792886056,7.173604121257366,0.5647208804472807,0,0
200,-3.1062828839999144,2.5495580136568954,-8.147421977086397,-3.0967600380322446,1.880954385194566,0.11154334730149051,0,0
201,-1.557098664501571,1.2495644103017283,-4.025249478037264,-1.554437156144809,0.8976464131945714,0.10636142579320762,0,0
202,-1.4085135237084943,1.2550992115460922,-3.8570611967636412,-1.416627308108974,1.0871884800742557,0.13088173140219594,0,0
203,-4.548007966691807,3.632740988371938,-11.73747643426898,-4.532138792881691,2.5516537420041985,0.10529414791513092,0,0
204,-0.385703756759008,1.2455308673748786,-2.8354270835877786,-0.38694860990857355,2.0718672529094317,0.37840589424330373,0,0
205,-7.267528882345225,2.1121449338756495,-11.458025264592905,-7.252515915413529,-3.1624286889075828,2.8996779232193237e-4,0,0
206,-1.5345150295794003,4.087721787400293,-9.57391406541826,-1.5327596882491787,6.494930371924882,0.35368293312050525,0,0
207,1.62155219134108,1.8234018158152223,-1.9637803489438468,1.622011654308909,5.204537703047918,0.8130792051712733,1,0
208,-1.372922951631417,3.6371866047129884,-8.525677951209149,-1.3714998178794326,5.771646424183355,0.352912777611331,0,0
209,-1.9481539231301965,5.058787015405566,-11.882981234691712,-1.9499469671417569,7.997137735630176,0.3500805624440404,0,0
210,-0.9175083108928552,3.7236164622034225,-8.229894427575479,-0.9179072257168535,6.397365528623558,0.4026853454001149,0,0
211,0.1949078921307925,1.2743783611389203,-2.2924059961014844,0.18690527275188484,2.7283028917835592,0.5607785859295691,0,0
212,5.449593212688635,1.4804683111909156,2.6520990807591938,5.410758125753646,8.46579726572602,0.9998838362225952,1,1
213,-0.41345445400009595,2.7926909950127725,-5.903302006030744,-0.41208268416783894,5.068857928160827,0.4411521415084141,0,0
214,-1.8451978232619644,3.8411375884260024,-9.398622105279912,-1.8440601708368078,5.70202023365643,0.3154793330722203,0,0
215,-1.361366078622922,5.516445981681811,-12.227271500729378,-1.35654774882551,9.47722409431418,0.4025380144009387,0,0
216,-1.698196959591645,3.921857884728686,-9.410302887635233,-1.6971680213400282,6.008295958797026,0.3325043751795812,0,0
217,1.9110025078616928,4.16661678460898,-6.2680971224061865,1.9054206539085747,10.12153159359908,0.6767558343566087,0,0
218,1.9465893996573134,2.434119848048164,-2.8285184184812984,1.942403694937024,6.744233563648085,0.788060511598855,0,0
219,2.29568023918797,2.2889272781745094,-2.234674101110647,2.305186562810209,6.773981509229925,0.8420575727655796,1,0
220,2.0509291456836873,4.656751468014265,-7.090581382990853,2.0453591109398714,11.223827983136868,0.6701837360727594,0,0
221,1.816138264152951,4.161052875385667,-6.359304525837846,1.8130412475401356,10.008651415612999,0.668748939449723,0,0
222,-0.367648301578598,2.4629526686837497,-5.216980541853811,-0.3655728827742344,4.4699418803399436,0.44066975559356225,0,0
