residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q975_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,stability_score,stability_class,uncertainty_class,residual_hotspot_confidence,residual_typology,residual_priority_score,rr_malaria_adj,rr_scd_adj
38,HF1754,St. Anthony'S Tororo HOSPITAL,General hospital,PNFP,BUKEDI,13722,1374,261,4.7824851443393985,1.9408337437642895,0.9909137671395682,8.624578868827243,7.633665101687674,0.9931328682354138,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5960623272375676,8.939753709641888e-4,0.015744155751164446
39,HF3236,Rwashamaire HC IV,HC IV,Government,ANKOLE,24292,957,2,5.255489355897095,1.3489806417015058,2.686767748423619,7.981238290998828,5.294470542575208,0.9999510819768402,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3,Borderline stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.5912154812409703,1.984404930225194e-4,5.368104360827181e-5
40,HF2278,Moyo HOSPITAL,General hospital,Government,WEST NILE,12616,1861,724,1.3648120966907569,0.8731527718007069,-0.33889001462069146,3.15533092200186,3.4942209366225514,0.9409837113364995,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5893136298109469,0.0014323845709649356,0.05163757974356328
41,HF1354,Kapchorwa HOSPITAL,General hospital,Government,BUGISU_SEBEI,26873,3324,39,6.559846572966715,3.4501310967129486,-0.037500776283301285,13.514342620006417,13.55184339628972,0.9713707662407146,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5831792826701258,5.635919816972078e-4,6.29103871041553e-4
42,HF0262,Benedict Medical centre  HC IV,HC IV,PNFP,GREATER KAMPALA,13670,151,2,6.2449973599503075,2.025763450552879,2.285999058990001,10.24473750532994,7.9587384463399395,0.9989746408243438,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3,Borderline stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.5819104826213615,9.866545386995928e-5,1.0701853470151005e-4
43,HF1015,Bududa HOSPITAL,General hospital,Government,BUGISU_SEBEI,71146,1665,206,6.900577756581995,3.480236624429547,0.2503019697129423,13.923301374297015,13.672999404584072,0.9763045443028838,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,High uncertainty,Uncertain candidate hotspot,Uncertain candidate hotspot,0.5815378938699721,4.0291917540784464e-5,4.6265660972769724e-4
44,HF2305,Matany HOSPITAL,General hospital,PNFP,Other,2347,19599,197,1.3185686678039485,2.831735495314181,-4.230463253351793,6.911970262993573,11.142433516345367,0.6792633148918914,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Moderate uncertainty,Not residual hotspot,No strong residual signal,0.5749412268879466,0.43566069453593276,0.40806599691362005
45,HF1313,Kamuli Mission Hospital,General hospital,PNFP,BUSOGA,32937,2093,190,3.0187649871546065,1.8140977605478446,-0.5022215251881823,6.631808829954961,7.134030355143143,0.9519496407356748,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5737621201959604,2.3629039615749678e-4,0.001989524476047789
46,HF2837,Bwindi Community HOSPITAL,General hospital,PNFP,KIGEZI,7996,1828,30,4.066712276321202,2.231638380055686,-0.29310470918174136,8.480090365791177,8.773195074972918,0.9657951812634282,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.572254784401983,0.003501112300939413,0.005474403653809943
47,HF0093,Villa Maria HOSPITAL,General hospital,PNFP,CENTRAL I,10903,2290,369,1.52903261198955,1.1322736590174187,-0.7193704977869191,3.7452939897421906,4.4646644875291095,0.911557597483458,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5684815740779736,0.002359462518920061,0.03525790823918261
